X,Y,Accuracy
5.00E+01,2.50E+01,7.80E-01
5.00E+01,3.00E+01,7.77E-01
5.00E+01,3.50E+01,7.85E-01
5.00E+01,4.00E+01,7.81E-01
5.00E+01,4.50E+01,7.85E-01
5.00E+01,5.00E+01,7.81E-01
5.00E+01,5.50E+01,7.84E-01
5.00E+01,6.00E+01,7.87E-01
5.00E+01,6.50E+01,7.84E-01
5.00E+01,7.00E+01,7.83E-01
5.00E+01,7.50E+01,7.83E-01
5.00E+01,8.00E+01,7.91E-01
5.00E+01,8.50E+01,7.81E-01
5.00E+01,9.00E+01,7.82E-01
5.00E+01,9.50E+01,7.81E-01
5.50E+01,2.50E+01,7.79E-01
5.50E+01,3.00E+01,7.77E-01
5.50E+01,3.50E+01,7.86E-01
5.50E+01,4.00E+01,7.82E-01
5.50E+01,4.50E+01,7.85E-01
5.50E+01,5.00E+01,7.81E-01
5.50E+01,5.50E+01,7.85E-01
5.50E+01,6.00E+01,7.87E-01
5.50E+01,6.50E+01,7.84E-01
5.50E+01,7.00E+01,7.84E-01
5.50E+01,7.50E+01,7.83E-01
5.50E+01,8.00E+01,7.91E-01
5.50E+01,8.50E+01,7.81E-01
5.50E+01,9.00E+01,7.81E-01
5.50E+01,9.50E+01,7.81E-01
6.00E+01,2.50E+01,7.79E-01
6.00E+01,3.00E+01,7.77E-01
6.00E+01,3.50E+01,7.85E-01
6.00E+01,4.00E+01,7.82E-01
6.00E+01,4.50E+01,7.84E-01
6.00E+01,5.00E+01,7.81E-01
6.00E+01,5.50E+01,7.85E-01
6.00E+01,6.00E+01,7.87E-01
6.00E+01,6.50E+01,7.84E-01
6.00E+01,7.00E+01,7.84E-01
6.00E+01,7.50E+01,7.81E-01
6.00E+01,8.00E+01,7.89E-01
6.00E+01,8.50E+01,7.81E-01
6.00E+01,9.00E+01,7.83E-01
6.00E+01,9.50E+01,7.81E-01
6.50E+01,2.50E+01,7.80E-01
6.50E+01,3.00E+01,7.77E-01
6.50E+01,3.50E+01,7.86E-01
6.50E+01,4.00E+01,7.81E-01
6.50E+01,4.50E+01,7.84E-01
6.50E+01,5.00E+01,7.83E-01
6.50E+01,5.50E+01,7.84E-01
6.50E+01,6.00E+01,7.87E-01
6.50E+01,6.50E+01,7.84E-01
6.50E+01,7.00E+01,7.82E-01
6.50E+01,7.50E+01,7.83E-01
6.50E+01,8.00E+01,7.89E-01
6.50E+01,8.50E+01,7.82E-01
6.50E+01,9.00E+01,7.82E-01
6.50E+01,9.50E+01,7.81E-01
7.00E+01,2.50E+01,7.80E-01
7.00E+01,3.00E+01,7.77E-01
7.00E+01,3.50E+01,7.86E-01
7.00E+01,4.00E+01,7.81E-01
7.00E+01,4.50E+01,7.84E-01
7.00E+01,5.00E+01,7.82E-01
